"Qty","Designator","Part","Comment","Footprint"
"2","Audio1,Audio2","PJ-320B","PJ-320B","AUDIO-SMD_PJ-320B"
"1","C21","CAP","10n","CAP_0402"
"15","C3,C4,C5,C6,C7,C8,C9,C11,C12,C13,C14,C15,C16,C26,C27","CAP","100n","CAP_0402"
"2","C1,C22","CAP","1u","CAP_0402"
"3","C2,C20,C25","CAP","10u","CAP_0402"
"1","C24","CAP_POL","CA45-C6R3K337T","CP_EIA-6032-15_Kemet-U"
"3","C17,C18,C19","CAP_POL","CS1E470M-CRE54","CP_Elec_6.3x5.7"
"1","CN1","USB-CON-AF-LCP-Offset","C42567","USB-A-SMD_AF-APPLE-10.6"
"2","D4,D5","SCHOTTKY","B340LA-13-F","D_SMA"
"3","D1,D2,D3","UI_WS2812C-2020","UI_WS2812C-2020","UI_WS2812C-2020_LIGHTPIPE"
"1","DC1","DC-C033D-5.5A-2.0","DC-C033D-5.5A-2.0","DC-IN-TH_DC-C033D-5.5A-2.0"
"2","FB1,FB2","FERRIT","MPZ2012S101AT000","FERRIT_0805"
"1","J3","Conn_01x02","Conn_01x02","OscilloscopeGround"
"1","J1","USB_C_TYPE-C-32-M-12","TYPE-C-32-M-12","USB_C_Korean_Hroparts_TYPE-C-31-M-12"
"1","L1","INDUCTOR","SNR.8065.TYD220MT00","L_Bourns-SRN8040_8x8.15mm"
"1","LOGO1","OSHWA","OSHWA","OSHWA_KNOT"
"1","Q1","Q_DUAL_PMOS_G1S2G2D2S1D1-Device","WST2011","SOT-23-6"
"1","Q2","Q_Dual_NMOS_G1S2G2D2S1D1","WST3392","SOT-23-6"
"3","R13,R14,R15","RES","220R","RES_0402"
"4","R5,R8,R9,R12","RES","1k","RES_0402"
"2","R22,R23","RES","3k3","RES_0402"
"7","R6,R7,R10,R11,R16,R17,R18","RES","5k1","RES_0402"
"4","R1,R2,R20,R21","RES","10k","RES_0402"
"2","SW1,SW2","SW_SPST","C2905169","SW_SPST_CK_RS282G05A3"
"1","SW4","ST-0-102-C03-N003-RS","ST-0-102-C03-N003-RS","SW-TH_ST-0-102-C03-N003-RS"
"1","SW3","TC-1109DE-C-G","TC-1109DE-C-G","SW-TH_3P-L4.5-W7.0-P3.00-LS1.9"
"2","U12,U13","6N137","6N137","OPTO_SMD-8_L9.8-W6.6-P2.54-LS10.3-BL"
"1","U8","74HC165","74HC165","SOIC-16_74HC165"
"1","U14","74HC1G14GV","74HC1G14GV","SOT-23-5-AND-TSSOP5"
"6","U2,U3,U4,U5,U10,U11","BL1551B","BL1551B","SOT-363_SC-70-6"
"1","U1","ESP32-S3-WROOM-1U","ESP32-S3-WROOM-1U","ESP32-S3-WROOM-1U"
"1","U17","U_REGULATOR_SOT23-5","LN1134A332MR-G","SOT-23-5"
"1","U16","PMIC_MT9700","PMIC_MT9700","SOT-23-5"
"3","U6,U7,U9","U_ESD_4ch","SESRV05-4","SOT-23-6"
"1","U15","TPS5430DDA","TPS5430DDA","TI_SO-PowerPAD-8_ThermalVias"
