Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
Audio1,PJ-320B,AUDIO-SMD_PJ-320B,7.5000,24.0000,0.0000,top
Audio2,PJ-320B,AUDIO-SMD_PJ-320B,20.5000,24.0000,0.0000,top
C1,1u,CAP_0402,21.0000,3.2500,180.0000,top
C2,10u,CAP_0402,23.0000,3.2500,0.0000,top
C3,100n,CAP_0402,15.0000,-26.2500,270.0000,top
C4,100n,CAP_0402,20.0000,-26.2500,270.0000,top
C5,100n,CAP_0402,25.0000,-26.2500,270.0000,top
C6,100n,CAP_0402,0.0000,3.5000,90.0000,top
C7,100n,CAP_0402,0.0000,0.7500,90.0000,top
C8,100n,CAP_0402,0.0000,-2.0000,90.0000,top
C9,100n,CAP_0402,0.0000,-4.7500,90.0000,top
C11,100n,CAP_0402,-13.2500,-23.0000,180.0000,top
C12,100n,CAP_0402,-2.0000,16.0000,180.0000,top
C13,100n,CAP_0402,0.7500,15.2500,270.0000,top
C14,100n,CAP_0402,0.7500,12.2500,270.0000,top
C15,100n,CAP_0402,15.0000,3.2500,180.0000,top
C16,100n,CAP_0402,17.0000,3.2500,0.0000,top
C17,CS1E470M-CRE54,CP_Elec_6.3x5.7,-13.0000,4.2500,180.0000,top
C18,CS1E470M-CRE54,CP_Elec_6.3x5.7,-13.0000,11.2500,180.0000,top
C19,CS1E470M-CRE54,CP_Elec_6.3x5.7,-21.0000,7.7500,180.0000,top
C20,10u,CAP_0402,-12.7500,-10.0000,0.0000,top
C21,10n,CAP_0402,-24.2500,-4.2500,180.0000,top
C22,1u,CAP_0402,-12.7500,-11.0000,180.0000,top
C24,CA45-C6R3K337T,CP_EIA-6032-15_Kemet-U,-13.2500,-3.2500,90.0000,top
C25,10u,CAP_0402,-5.5100,-12.5000,180.0000,top
C26,100n,CAP_0402,-12.0000,-17.0000,180.0000,top
C27,100n,CAP_0402,-8.2500,-15.7500,0.0000,top
CN1,C42567,USB-A-SMD_AF-APPLE-10.6,0.0000,-22.4662,0.0000,top
D1,UI_WS2812C-2020,UI_WS2812C-2020_LIGHTPIPE,22.5000,-26.2500,0.0000,top
D2,UI_WS2812C-2020,UI_WS2812C-2020_LIGHTPIPE,17.5000,-26.2500,0.0000,top
D3,UI_WS2812C-2020,UI_WS2812C-2020_LIGHTPIPE,12.5000,-26.2500,0.0000,top
D4,B340LA-13-F,D_SMA,-23.5000,0.0000,270.0000,top
D5,B340LA-13-F,D_SMA,-9.0000,-11.5000,270.0000,top
DC1,DC-C033D-5.5A-2.0,DC-IN-TH_DC-C033D-5.5A-2.0,-18.0000,21.0000,0.0000,top
FB1,MPZ2012S101AT000,FERRIT_0805,-12.7500,-8.2500,0.0000,top
FB2,MPZ2012S101AT000,FERRIT_0805,-6.0000,-14.7500,270.0000,top
J1,TYPE-C-32-M-12,USB_C_Korean_Hroparts_TYPE-C-31-M-12,-5.5000,25.8000,180.0000,top
J3,Conn_01x02,OscilloscopeGround,21.0000,-19.5000,0.0000,top
L1,SNR.8065.TYD220MT00,L_Bourns-SRN8040_8x8.15mm,-20.0000,-10.0000,0.0000,top
Q1,WST2011,SOT-23-6,-23.5000,13.0000,180.0000,top
Q2,WST3392,SOT-23-6,-19.5000,13.0000,90.0000,top
R1,10k,RES_0402,-11.2500,-22.0000,0.0000,top
R2,10k,RES_0402,-6.2500,-6.7500,0.0000,top
R5,1k,RES_0402,4.5000,-1.0000,270.0000,top
R6,5k1,RES_0402,2.2500,6.0000,0.0000,top
R7,5k1,RES_0402,3.2500,-7.2500,90.0000,top
R8,1k,RES_0402,-11.2500,-24.0000,0.0000,top
R9,1k,RES_0402,-13.2500,-24.0000,180.0000,top
R10,5k1,RES_0402,-8.5000,19.5000,270.0000,top
R11,5k1,RES_0402,-2.5000,19.5000,270.0000,top
R12,1k,RES_0402,14.7500,-21.0000,0.0000,top
R13,220R,RES_0402,13.7500,18.7500,270.0000,top
R14,220R,RES_0402,12.7500,18.7500,270.0000,top
R15,220R,RES_0402,19.5000,17.2500,0.0000,top
R16,5k1,RES_0402,19.0000,3.2500,180.0000,top
R17,5k1,RES_0402,10.5000,3.2500,0.0000,top
R18,5k1,RES_0402,12.5000,3.2500,0.0000,top
R20,10k,RES_0402,-2.2500,-8.7400,90.0000,top
R21,10k,RES_0402,-15.7500,-4.0000,90.0000,top
R22,3k3,RES_0402,-15.7500,-2.0000,90.0000,top
R23,3k3,RES_0402,-3.5100,-12.5000,180.0000,top
SW1,C2905169,SW_SPST_CK_RS282G05A3,-3.7500,-2.5000,270.0000,top
SW2,C2905169,SW_SPST_CK_RS282G05A3,-8.7500,-2.5000,270.0000,top
SW3,TC-1109DE-C-G,SW-TH_3P-L4.5-W7.0-P3.00-LS1.9,-12.5000,-28.2000,0.0000,top
SW4,ST-0-102-C03-N003-RS,SW-TH_ST-0-102-C03-N003-RS,-21.0000,-19.4000,0.0000,top
U1,ESP32-S3-WROOM-1U,ESP32-S3-WROOM-1U,14.8000,-7.0825,270.0000,top
U2,BL1551B,SOT-363_SC-70-6,2.2500,4.0000,180.0000,top
U3,BL1551B,SOT-363_SC-70-6,2.2500,1.2500,180.0000,top
U4,BL1551B,SOT-363_SC-70-6,2.2500,-4.2500,180.0000,top
U5,BL1551B,SOT-363_SC-70-6,2.2500,-1.5000,180.0000,top
U6,SESRV05-4,SOT-23-6,0.0000,-12.0000,0.0000,top
U7,SESRV05-4,SOT-23-6,-5.5000,19.5000,0.0000,top
U8,74HC165,SOIC-16_74HC165,-4.5000,9.8625,270.0000,top
U9,SESRV05-4,SOT-23-6,15.5000,24.0000,180.0000,top
U10,BL1551B,SOT-363_SC-70-6,3.0000,12.2500,0.0000,top
U11,BL1551B,SOT-363_SC-70-6,3.0000,15.2500,0.0000,top
U12,6N137,OPTO_SMD-8_L9.8-W6.6-P2.54-LS10.3-BL,20.5000,10.2500,180.0000,top
U13,6N137,OPTO_SMD-8_L9.8-W6.6-P2.54-LS10.3-BL,10.2500,10.2500,180.0000,top
